Become A Seller,تصبح البائع
Manage Commissions,إدارة اللجان
Add New Commission,إضافة جنة الجديد
Save Commission,حفظ جنة
Save and Continue Edit,حفظ ومتابعة تحرير
Delete Commission,لجنة الحذف
Edit Commission '%1',تحرير جنة '٪ 1'
New Commission,لجنة جديدة
Calculate Commission Using The Following Information,المفوضية حساب باستخدام المعلومات التالية
Commission By,اللجنة بواسطة
Fixed Amount,مبلغ ثابت
Percent Of Product Price,في المئة من سعر المنتج
Calculate Commission Based On,حساب اللجنة وبناء على
Product Price (Incl. Tax),سعر المنتج (متضمنة الضرائب)
Product Price (Excl. Tax),المنتج السعر (باستثناء الضرائب)
Product Price After Discount (Incl. Tax),سعر المنتج بعد الخصم (متضمنة الضرائب)
Product Price After Discount (Excl. Tax),سعر المنتج بعد الخصم (باستثناء الضرائب)
Commission,عمولة
Discard subsequent rules,قواعد اللاحقة تجاهل
Yes,نعم
No,لا
Actions,أجراءات
Conditions (don't add conditions if rule is applied to all products),الشروط (لا إضافة شروط إذا تم تطبيق القاعدة على جميع المنتجات)
Apply To,تطبيق ل
Conditions,الظروف
Commission Information,معلومات جنة
Title,عنوان
Description,وصف
Status,الحالة
From,من عند
To,إلى
Priority,أفضلية
Seller Group,المجموعة البائع
Store View,عرض متجر
General Infomration,Infomration عامة
Preview,معاينة
Manage Seller Groups,إدارة المجموعات البائع
Add New Seller Group,إضافة مجموعة جديدة البائع
Save Group,حفظ المجموعة
Delete Group,المجموعة الحذف
Edit Group '%1',تحرير مجموعة '٪ 1'
New Group,مجموعة جديدة
Group Information,معلومات عن المجموعة
Group Name,أسم المجموعة
URL Key,URL مفتاح
Empty to auto create url key,تفريغ لصناعة السيارات إنشاء مفتاح عنوان url
Page Status,الحالة الصفحة
Option Data,الخيار البيانات
Limit Product,حد المنتج
Can Add New Product,يمكن إضافة منتجات جديدة
Can Cancel Order,يمكن إلغاء إشتراك
Can Create Invoice,يمكن إنشاء الفاتورة
Can Create Shipment,يمكن إنشاء شحنة
Can Create Credit Memo,يمكن إنشاء مذكرة الاعتماد
Hide Payment Information,معلومات إخفاء الدفع
The payment information of customer will be hidden from order.,سيتم إخفاء معلومات الدفع من العملاء من أجل.
Can submit comments,يمكن تقديم تعليقات
Can Use Group,استخدام مجموعة علبة
Can Use Shipping,يمكن استخدام الشحن
Can Use Review,يمكن استخدام مراجعة
Can Use Rating,يمكن استخدام التصويت
Can Import/Export Product,يمكن استيراد / تصدير المنتج
Can Use Vacation,يمكن استخدام عطلة
Can Use Report,استخدم تقرير يمكن
Can Use Withdrawal,يمكن استخدام الانسحاب
Advanced Options,خيارات متقدمة
Message Seller,رسالة للبائع
Add New Message,إضافة رسالة جديدة
Save Message,حفظ رسالة
Delete Message,حذف رسالة
Edit Message '%1',تحرير رسالة '٪ 1'
New Message,رسالة جديدة
Message Information,معلومات الرسالة
Subject,موضوع
Message,رسالة
added %1 (%2),وأضاف٪ 1 (٪ 2)
Can Use Message,يمكن استخدام رسالة
Manage Payments Method,إدارة أسلوب المدفوعات
Add New Payment,إضافة جديد الدفع
Save Payment,حفظ الدفع
Delete Payment,الدفع الحذف
Edit Payment '%1',تحرير الدفع '٪ 1'
New Payment,الدفع الجديد
Payment Information,معلومات الدفع
Name,اسم
Fee By,رسم بواسطة
Fixed Fee,رسوم ثابتة
Percent Fee,رسوم في المئة
All,الكل
Min Amount,مين المبلغ
Max Amount,ماكس المبلغ
Order Payment,دفع النظام
Note Message,ملاحظة رسالة
Manage Products,إدارة المنتجات
Add New Product,إضافة منتج جديد
Manage Ratings,إدارة التقييمات
Add New Rating,إضافة تقييم جديد
Save Rating,حفظ التصويت
Delete Rating,التصويت حذف
Edit Rating '%1',تحرير التصويت '٪ 1'
New Rating,التصويت جديدة
Rating Information,تصنيف المعلومات
Email,البريد الإلكتروني
Detail,التفاصيل
Seller Id,البائع رقم
Rate 1,معدل 1
Rate 2,معدل 2
Rate 3,معدل 3
Manage Sellers,إدارة البائعين
Add New Seller,إضافة بائع جديد
Save Seller,حفظ البائع
Delete Seller,بائع حذف
Edit Seller '%1',تحرير البائع '٪ 1'
New Seller,بائع جديد
Page Layout,تخطيط الصفحة
Layout,نسق
Layout Update XML,تخطيط تحديث XML
Design,التصميم
Seller Information,معلومات البائع
Seller Name,البائع اسم
Link Seller,رابط البائع
Contact Number,رقم الاتصال
Shop Title,متجر عنوان
Customer,زبون
Company Banner,شركة راية
Company Logo,شعار الشركة
Company Locality,شركة محلية
Company Description,وصف الشركة
Return Policy,سياسة العائدات
Shipping Policy,سياسة الشحن
Address,عنوان
Country,بلد
Position,موضع
Meta Data,البيانات الوصفية
Page Title,عنوان الصفحة
Keywords,الكلمات الدالة
Meta Keywords,كلمات دلالية
Meta Description,ميتا الوصف
ID,هوية شخصية
Type,نوع
Attribute Set,تعيين السمة
Visibility,رؤية
SKU,SKU
Price,السعر
Social Infomation,Infomation و الاجتماعية
Twitter Active,تويتر النشطة
Twitter,تويتر
Facebook Active,الفيسبوك النشطين
Page Facebook Id,صفحة الفيسبوك إيد
Facebook,موقع التواصل الاجتماعي الفيسبوك
Google Plus Active,جوجل بلس النشطة
Google Plus,جوجل بلس
Youtube Active,يوتيوب نشط
Youtube,موقع يوتيوب
Vimeo Active,تواجد فيميو
Vimeo,فيميو
Linkedin Active,تابعني على تواجد
Linkedin,تابعني على
Instagram Active,إينستاجرام نشط
Instagram,إينستاجرام
Pinterest Active,بينتيريست النشطة
Pinterest,موقع Pinterest
Social Information,معلومات الاجتماعي
Products,منتجات
WYSIWYG Editor,محرر WYSIWYG
Manage Withdrawals Method,إدارة السحوبات الطريقة
Add New Withdrawal,إضافة الانسحاب الجديد
Save Withdrawal,حفظ الانسحاب
Edit Withdrawal '%1',تحرير الانسحاب '٪ 1'
New Withdrawal,سحب جديدة
Withdrawal Information,معلومات انسحاب
Fee,رسوم
Order Withdrawal,أجل الانسحاب
Export,تصدير
Export Settings,إعدادات التصدير
Entity Type,كيان نوع
Export File Format,تنسيق ملف تصدير
Fields Enclosure,الحقول ضميمة
We can't filter an attribute with no attribute options.,ونحن لا يمكن تصفية سمة مع عدم وجود خيارات السمة.
Exclude,استبعد
Attribute Label,السمة تسمية
Attribute Code,السمة كود
Filter,منقي
Unknown attribute filter type,سمة غير معروفة نوع فلتر
Home,الصفحة الرئيسية
Go to Home Page,الذهاب إلى الصفحة الرئيسية
Create New Product,خلق منتج جديد
Create New Attribute,إنشاء سمة جديدة
Export Product,تصدير المنتج
"Images (.gif, .jpg, .png)",الصور (أو jpg، بابوا نيو غينيا)
Import Product,استيراد المنتج
Add Product,أضف منتج
label,ضع الكلمة المناسبة
Advanced Report,تقرير المتقدم
Amount Transaction,كمية عملية
Invoice,فاتورة
 [deleted], [تم الحذف]
View Invoice,عرض الفاتورة
Order,طلب
View Order,مشاهدة الطلب
Custom Value,القيمة الجمركية
View Shipment,مشاهدة شحنة
Become a Seller,تصبح البائع
Dashboard,لوحة القيادة
Edit Profile,تعديل الملف الشخصي
Seller Login,بائع الدخول
Error!,خطأ!
Info,معلومات
Success,نجاح
Alert,إنذار
Order # %1 %2 | %3,ترتيب٪ # 1٪ 2 | 3٪
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.",هذا النظام يحتوي على (٪ 1) فقرة، وبالتالي لا يمكن تحريرها من خلال واجهة الادارة. إذا كنت ترغب في مواصلة التحرير، وسيتم إزالة (٪ 2) العناصر، وسوف يتم إلغاء النظام وسيتم وضع نظام جديد.
