Become A Seller,Wird ein Verkäufer
Manage Commissions,verwalten Kommissionen
Add New Commission,In New Kommission
Save Commission,Speichern Kommission
Save and Continue Edit,Speichern und weiter bearbeiten
Delete Commission,Löschen Kommission
Edit Commission '%1',Bearbeiten Kommission ‚% 1‘
New Commission,neue Kommission
Calculate Commission Using The Following Information,Berechnen Kommission mit den folgenden Informationen
Commission By,Kommission von
Fixed Amount,Fester Betrag
Percent Of Product Price,Prozent des Produktpreises
Calculate Commission Based On,Berechnen Kommission Gestützt auf
Product Price (Incl. Tax),Produktpreis (inkl. Steuer)
Product Price (Excl. Tax),Produktpreis (exkl.)
Product Price After Discount (Incl. Tax),Produkt Preis nach Rabatt (inkl. Steuern)
Product Price After Discount (Excl. Tax),Produkt Preis nach Rabatt Preis (exkl.)
Commission,Kommission
Discard subsequent rules,Verwerfen Regeln ignorieren
Yes,Ja
No,Nein
Actions,Aktionen
Conditions (don't add conditions if rule is applied to all products),"Bedingungen (keine Bedingungen hinzufügen, wenn die Regel auf alle Produkte angewendet wird)"
Apply To,Gelten
Conditions,Bedingungen
Commission Information,Kommission Informationen
Title,Titel
Description,Beschreibung
Status,Status
From,Von
To,Zu
Priority,Priorität
Seller Group,Verkäufer-Gruppe
Store View,Store View
General Infomration,Allgemein infomration
Preview,Vorschau
Manage Seller Groups,Verwalten Verkäufer Gruppen
Add New Seller Group,In Neu Verkäufer Gruppe
Save Group,Save Group
Delete Group,Gruppe löschen
Edit Group '%1',Gruppe bearbeiten ‚% 1‘
New Group,Neue Gruppe
Group Information,Gruppen-Informationen
Group Name,Gruppenname
URL Key,URL Key
Empty to auto create url key,Leeren Sie die automatische Erstellen url Schlüssel
Page Status,Seitenstatus
Option Data,Option Daten
Limit Product,Limit Produkt
Can Add New Product,Kann Neues Produkt hinzufügen
Can Cancel Order,Kann Bestellung stornieren
Can Create Invoice,Kann Rechnung erstellen
Can Create Shipment,Kann erstellen Versand
Can Create Credit Memo,Kann erstellen Gutschrift
Hide Payment Information,Verbergen Zahlungsinformationen
The payment information of customer will be hidden from order.,Die Zahlungsinformationen des Kunden werden von der Bestellung ausgeblendet werden.
Can submit comments,Kann einreichen Kommentare
Can Use Group,Can Usegroup
Can Use Shipping,Can versenden
Can Use Review,Can Verwenden Bewertung
Can Use Rating,Can Verwenden Bewertung
Can Import/Export Product,Can Import / Export-Produkt
Can Use Vacation,Kann Urlaub nutzen
Can Use Report,Can Mit dem Report
Can Use Withdrawal,Can Verwenden Rücktritt
Advanced Options,Erweiterte Optionen
Message Seller,Nachricht des Verkäufers
Add New Message,Neue Nachricht hinzufügen
Save Message,Nachricht speichern
Delete Message,Nachricht löschen
Edit Message '%1',Nachr.Editieren ‚% 1‘
New Message,Neue Nachricht
Message Information,Nachrichteninformationen
Subject,Gegenstand
Message,Botschaft
added %1 (%2),hinzugefügt% 1 (% 2)
Can Use Message,Can Verwenden Nachricht
Manage Payments Method,Zahlungen verwalten Methode
Add New Payment,In New Payment
Save Payment,Außer Zahlungs
Delete Payment,Löschen Zahlung
Edit Payment '%1',Bearbeiten Zahlung ‚% 1‘
New Payment,neue Zahlungs
Payment Information,Zahlungsinformationen
Name,Name
Fee By,Fee von
Fixed Fee,Festpreis
Percent Fee,Percent Fee
All,Alle
Min Amount,min Betrag
Max Amount,Max Betrag
Order Payment,Bestellung Zahlung
Note Message,Hinweis Nachricht
Manage Products,Produkte verwalten
Add New Product,Neues Produkt
Manage Ratings,verwalten Bewertungen
Add New Rating,Neu hinzufügen Bewertung
Save Rating,Speichern Bewertung
Delete Rating,Löschen Bewertung
Edit Rating '%1',Bearbeiten Rating '% 1'
New Rating,neue Bewertung
Rating Information,Rating Informationen
Email,Email
Detail,Detail
Seller Id,Verkäufer Id
Rate 1,Rate 1
Rate 2,Rate 2
Rate 3,Rate 3
Manage Sellers,verwalten Sellers
Add New Seller,In Neu Verkäufer
Save Seller,Speichern Verkäufer
Delete Seller,Löschen Verkäufer
Edit Seller '%1',Bearbeiten Verkäufer ‚% 1‘
New Seller,Verkäufer
Page Layout,Seitenlayout
Layout,Layout
Layout Update XML,Layout-Update XML
Design,Design
Seller Information,Angaben zum Verkäufer
Seller Name,Name des Verkäufers
Link Seller,Link Verkäufer
Contact Number,Kontakt Nummer
Shop Title,Shop Titel
Customer,Kunde
Company Banner,Unternehmen Banner
Company Logo,Firmenlogo
Company Locality,Unternehmen Ort
Company Description,Firmen Beschreibung
Return Policy,Rücknahmegarantie
Shipping Policy,Versandbedingungen
Address,Adresse
Country,Land
Position,Position
Meta Data,Meta-Daten
Page Title,Seitentitel
Keywords,Schlüsselwörter
Meta Keywords,Meta-Keywords
Meta Description,Meta Description
ID,ICH WÜRDE
Type,Art
Attribute Set,Attribut Set
Visibility,Sichtweite
SKU,SKU
Price,Preis
Social Infomation,Social Infomation
Twitter Active,Twitter aktiv
Twitter,zwitschern
Facebook Active,Facebook aktiv
Page Facebook Id,Seite Facebook Id
Facebook,Facebook
Google Plus Active,Google Plus Aktiv
Google Plus,Google Plus
Youtube Active,Youtube Aktiv
Youtube,Youtube
Vimeo Active,Vimeo Aktiv
Vimeo,Vimeo
Linkedin Active,Linkedin Aktiv
Linkedin,Linkedin
Instagram Active,instagram Aktiv
Instagram,instagram
Pinterest Active,Pinterest Aktive
Pinterest,Pinterest
Social Information,soziale Informationen
Products,Produkte
WYSIWYG Editor,WYSIWYG-Editor
Manage Withdrawals Method,Verwalten Auszahlungsmethode
Add New Withdrawal,In New Rücktritt
Save Withdrawal,Speichern Rückzug
Edit Withdrawal '%1',Bearbeiten Rückzug ‚% 1‘
New Withdrawal,New Rücktritt
Withdrawal Information,Rücktritt Informationen
Fee,Gebühr
Order Withdrawal,bestellen Rücktritt
Export,Export
Export Settings,Exporteinstellungen
Entity Type,Entitätstyp
Export File Format,Export-Dateiformat
Fields Enclosure,Felder Enclosure
We can't filter an attribute with no attribute options.,Wir können nicht ein Attribut ohne Attribut Optionen filtern.
Exclude,Ausschließen
Attribute Label,Attribut Etikett
Attribute Code,Attribut-Code
Filter,Filter
Unknown attribute filter type,Unbekanntes Attribut Filterart
Home,Zuhause
Go to Home Page,Zurück zur Homepage
Create New Product,Neues Produkt anlegen
Create New Attribute,Erstellen Sie Neues Attribut
