"Become A Seller","Become A Seller"
"Manage Commissions","Manage Commissions"
"Add New Commission","Add New Commission"
"Save Commission","Save Commission"
"Save and Continue Edit","Save and Continue Edit"
"Delete Commission","Delete Commission"
"Edit Commission '%1'","Edit Commission '%1'"
"New Commission","New Commission"
"Calculate Commission Using The Following Information","Calculate Commission Using The Following Information"
"Commission By","Commission By"
"Fixed Amount","Fixed Amount"
"Percent Of Product Price","Percent Of Product Price"
"Calculate Commission Based On","Calculate Commission Based On"
"Product Price (Incl. Tax)","Product Price (Incl. Tax)"
"Product Price (Excl. Tax)","Product Price (Excl. Tax)"
"Product Price After Discount (Incl. Tax)","Product Price After Discount (Incl. Tax)"
"Product Price After Discount (Excl. Tax)","Product Price After Discount (Excl. Tax)"
Commission,Commission
"Discard subsequent rules","Discard subsequent rules"
Yes,Yes
No,No
Actions,Actions
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"Apply To","Apply To"
Conditions,Conditions
"Commission Information","Commission Information"
Title,Title
Description,Description
Status,Status
From,From
To,To
Priority,Priority
"Seller Group","Seller Group"
"Store View","Store View"
"General Infomration","General Infomration"
Preview,Preview
"Manage Seller Groups","Manage Seller Groups"
"Add New Seller Group","Add New Seller Group"
"Save Group","Save Group"
"Delete Group","Delete Group"
"Edit Group '%1'","Edit Group '%1'"
"New Group","New Group"
"Group Information","Group Information"
"Group Name","Group Name"
"URL Key","URL Key"
"Empty to auto create url key","Empty to auto create url key"
"Page Status","Page Status"
"Option Data","Option Data"
"Limit Product","Limit Product"
"Can Add New Product","Can Add New Product"
"Can Cancel Order","Can Cancel Order"
"Can Create Invoice","Can Create Invoice"
"Can Create Shipment","Can Create Shipment"
"Can Create Credit Memo","Can Create Credit Memo"
"Hide Payment Information","Hide Payment Information"
"The payment information of customer will be hidden from order.","The payment information of customer will be hidden from order."
"Can submit comments","Can submit comments"
"Can Use Group","Can Use Group"
"Can Use Shipping","Can Use Shipping"
"Can Use Review","Can Use Review"
"Can Use Rating","Can Use Rating"
"Can Import/Export Product","Can Import/Export Product"
"Can Use Vacation","Can Use Vacation"
"Can Use Report","Can Use Report"
"Can Use Withdrawal","Can Use Withdrawal"
"Advanced Options","Advanced Options"
"Message Seller","Message Seller"
"Add New Message","Add New Message"
"Save Message","Save Message"
"Delete Message","Delete Message"
"Edit Message '%1'","Edit Message '%1'"
"New Message","New Message"
"Message Information","Message Information"
Subject,Subject
Message,Message
"added %1 (%2)","added %1 (%2)"
"Can Use Message","Can Use Message"
"Manage Payments Method","Manage Payments Method"
"Add New Payment","Add New Payment"
"Save Payment","Save Payment"
"Delete Payment","Delete Payment"
"Edit Payment '%1'","Edit Payment '%1'"
"New Payment","New Payment"
"Payment Information","Payment Information"
Name,Name
"Fee By","Fee By"
"Fixed Fee","Fixed Fee"
"Percent Fee","Percent Fee"
All,All
"Min Amount","Min Amount"
"Max Amount","Max Amount"
"Order Payment","Order Payment"
"Note Message","Note Message"
"Manage Products","Manage Products"
"Add New Product","Add New Product"
"Manage Ratings","Manage Ratings"
"Add New Rating","Add New Rating"
"Save Rating","Save Rating"
"Delete Rating","Delete Rating"
"Edit Rating '%1'","Edit Rating '%1'"
"New Rating","New Rating"
"Rating Information","Rating Information"
Email,Email
Detail,Detail
"Seller Id","Seller Id"
"Rate 1","Rate 1"
"Rate 2","Rate 2"
"Rate 3","Rate 3"
"Manage Sellers","Manage Sellers"
"Add New Seller","Add New Seller"
"Save Seller","Save Seller"
"Delete Seller","Delete Seller"
"Edit Seller '%1'","Edit Seller '%1'"
"New Seller","New Seller"
"Page Layout","Page Layout"
Layout,Layout
"Layout Update XML","Layout Update XML"
Design,Design
"Seller Information","Seller Information"
"Seller Name","Seller Name"
"Link Seller","Link Seller"
"Contact Number","Contact Number"
"Shop Title","Shop Title"
Customer,Customer
"Company Banner","Company Banner"
"Company Logo","Company Logo"
"Company Locality","Company Locality"
"Company Description","Company Description"
"Return Policy","Return Policy"
"Shipping Policy","Shipping Policy"
Address,Address
Country,Country
Position,Position
"Meta Data","Meta Data"
"Page Title","Page Title"
Keywords,Keywords
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
ID,ID
Type,Type
"Attribute Set","Attribute Set"
Visibility,Visibility
SKU,SKU
Price,Price
"Social Infomation","Social Infomation"
"Twitter Active","Twitter Active"
Twitter,Twitter
"Facebook Active","Facebook Active"
"Page Facebook Id","Page Facebook Id"
Facebook,Facebook
"Google Plus Active","Google Plus Active"
"Google Plus","Google Plus"
"Youtube Active","Youtube Active"
Youtube,Youtube
"Vimeo Active","Vimeo Active"
Vimeo,Vimeo
"Linkedin Active","Linkedin Active"
Linkedin,Linkedin
"Instagram Active","Instagram Active"
Instagram,Instagram
"Pinterest Active","Pinterest Active"
Pinterest,Pinterest
"Social Information","Social Information"
Products,Products
"WYSIWYG Editor","WYSIWYG Editor"
"Manage Withdrawals Method","Manage Withdrawals Method"
"Add New Withdrawal","Add New Withdrawal"
"Save Withdrawal","Save Withdrawal"
"Edit Withdrawal '%1'","Edit Withdrawal '%1'"
"New Withdrawal","New Withdrawal"
"Withdrawal Information","Withdrawal Information"
Fee,Fee
"Order Withdrawal","Order Withdrawal"
Export,Export
"Export Settings","Export Settings"
"Entity Type","Entity Type"
"Export File Format","Export File Format"
"Fields Enclosure","Fields Enclosure"
"We can't filter an attribute with no attribute options.","We can't filter an attribute with no attribute options."
Exclude,Exclude
"Attribute Label","Attribute Label"
"Attribute Code","Attribute Code"
Filter,Filter
"Unknown attribute filter type","Unknown attribute filter type"
Home,Home
"Go to Home Page","Go to Home Page"
"Create New Product","Create New Product"
"Create New Attribute","Create New Attribute"
"Export Product","Export Product"
"Images (.gif, .jpg, .png)","Images (.gif, .jpg, .png)"
"Import Product","Import Product"
"Add Product","Add Product"
label,label
"Advanced Report","Advanced Report"
"Amount Transaction","Amount Transaction"
Invoice,Invoice
" [deleted]"," [deleted]"
"View Invoice","View Invoice"
Order,Order
"View Order","View Order"
"Custom Value","Custom Value"
"View Shipment","View Shipment"
"Become a Seller","Become a Seller"
Dashboard,Dashboard
"Edit Profile","Edit Profile"
"Seller Login","Seller Login"
Error!,Error!
Info,Info
Success,Success
Alert,Alert
"Order # %1 %2 | %3","Order # %1 %2 | %3"
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.","This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed."
"Are you sure? This order will be canceled and a new one will be created instead.","Are you sure? This order will be canceled and a new one will be created instead."
Payment,Payment
Save,Save
"Save & Draft","Save & Draft"
"Save & New","Save & New"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
Url,Url
"Preview Image","Preview Image"
"Get Video Information","Get Video Information"
"Hide from Product Page","Hide from Product Page"
Role,Role
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.","Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first."
Weight,Weight
"Create New Seller Account","Create New Seller Account"
Review,Review
"Sell On Marketplace ","Sell On Marketplace "
"Vacation Settings","Vacation Settings"
Pending,Pending
Completed,Completed
Cancel,Cancel
Withdrawals,Withdrawals
Amounts,Amounts
"Manage Seller Amount","Manage Seller Amount"
"Manage Amount Transaction","Manage Amount Transaction"
"The seller has been deleted.","The seller has been deleted."
"We can't find a seller to delete.","We can't find a seller to delete."
Seller,Seller
