Become A Seller,A売主になります
Manage Commissions,コミッションを管理します
Add New Commission,新しい委員会を追加
Save Commission,保存委員会
Save and Continue Edit,保存して続行を編集
Delete Commission,削除委員会
Edit Commission '%1',編集委員会「％1」
New Commission,新委員会
Calculate Commission Using The Following Information,次の情報を使用して計算委員会
Commission By,委員会
Fixed Amount,定額
Percent Of Product Price,製品価格の割合（％）
Calculate Commission Based On,計算コミッションベースで
Product Price (Incl. Tax),商品価格（税込）
Product Price (Excl. Tax),商品価格（税抜）
Product Price After Discount (Incl. Tax),ディスカウント後の製品価格（税込）
Product Price After Discount (Excl. Tax),ディスカウント後の製品価格（税抜）
Commission,手数料
Discard subsequent rules,破棄以降のルール
Yes,はい
No,番号
Actions,行動
Conditions (don't add conditions if rule is applied to all products),条件（ルールはすべての製品に適用された場合に条件を追加しないでください）
Apply To,に適用されます
Conditions,条件
Commission Information,委員会情報
Title,題名
Description,説明
Status,状態
From,から
To,に
Priority,優先
Seller Group,出品者グループ
Store View,ストアを見ます
General Infomration,一般Infomration
Preview,試写
Manage Seller Groups,出品者グループの管理
Add New Seller Group,新しい出品者グループの追加
Save Group,グループを保存
Delete Group,グループの削除
Edit Group '%1',編集グループ「％1」
New Group,新グループ
Group Information,グループ情報
Group Name,グループ名
URL Key,URLキー
Empty to auto create url key,自動車には、空のURLのキーを作成します
Page Status,ページステータス
Option Data,オプションデータ
Limit Product,リミット製品
Can Add New Product,新製品を追加することができます
Can Cancel Order,注文をキャンセルすることができます
Can Create Invoice,請求書を作成することができます
Can Create Shipment,出荷を作成することができます
Can Create Credit Memo,クレジットメモを作成することができます
Hide Payment Information,隠すお支払い情報
The payment information of customer will be hidden from order.,顧客の決済情報は、オーダーから隠されます。
Can submit comments,コメントを投稿することができます
Can Use Group,缶を使用するグループ
Can Use Shipping,缶を使用する配送
Can Use Review,缶の使用レビュー
Can Use Rating,缶の使用評価
Can Import/Export Product,缶のインポート/エクスポート製品
Can Use Vacation,休暇を使用することができます
Can Use Report,缶の使用レポート
Can Use Withdrawal,缶の使用撤退
Advanced Options,高度なオプション
Message Seller,メッセージ売主
Add New Message,新規メッセージを追加
Save Message,保存メッセージ
Delete Message,削除メッセージ
Edit Message '%1',編集メッセージ「％1」
New Message,新しいメッセージ
Message Information,メッセージ情報
Subject,主題
Message,メッセージ
added %1 (%2),加え％1（％2）
Can Use Message,缶を使用するメッセージ
Manage Payments Method,支払い方法を管理します
Add New Payment,新しいお支払い方法を追加
Save Payment,保存支払い
Delete Payment,削除支払い
Edit Payment '%1',編集支払い「％1」
New Payment,新しいお支払い
Payment Information,支払情報
Name,名前
Fee By,の手数料を
Fixed Fee,固定料金
Percent Fee,パーセント料金
All,すべて
Min Amount,最低額
Max Amount,最大額
Order Payment,ご注文お支払い
Note Message,注メッセージ
Manage Products,商品を管理します
Add New Product,新製品を追加します
Manage Ratings,評価を管理します
Add New Rating,新しい評価を追加
Save Rating,評価の保存
Delete Rating,削除評価
Edit Rating '%1',編集評価「％1」
New Rating,新しい評価
Rating Information,格付情報
Email,Eメール
Detail,ディテール
Seller Id,出品者
Rate 1,レート1
Rate 2,レート2
Rate 3,レート3
Manage Sellers,売り手の管理
Add New Seller,新しい売主を追加
Save Seller,保存売主
Delete Seller,削除売主
Edit Seller '%1',編集売主「％1」
New Seller,新売主
Page Layout,ページレイアウト
Layout,レイアウト
Layout Update XML,レイアウト更新XML
Design,設計
Seller Information,販売者情報
Seller Name,出品者名
Link Seller,リンク売主
Contact Number,連絡先番号
Shop Title,ショップタイトル
Customer,お客様
Company Banner,会社のバナー
Company Logo,会社のロゴ
Company Locality,会社地域
Company Description,会社概要
Return Policy,返品規則
Shipping Policy,配送ポリシー
Address,住所
Country,国
Position,ポジション
Meta Data,メタデータ
Page Title,ページタイトル
Keywords,キーワード
Meta Keywords,メタキーワード
Meta Description,メタ記述
ID,ID
Type,タイプ
Attribute Set,属性セット
Visibility,可視
SKU,SKU
Price,価格
Social Infomation,社会インフォ
Twitter Active,アクティブツイッター
Twitter,ツイッター
Facebook Active,アクティブなFacebookの
Page Facebook Id,ページのFacebook同上
Facebook,フェイスブック
Google Plus Active,グーグルプラスアクティブ
Google Plus,グーグルプラス
Youtube Active,アクティブユーチューブ
Youtube,ユーチューブ
Vimeo Active,Vimeoのアクティブ
Vimeo,Vimeoの
Linkedin Active,アクティブLinkedInの
Linkedin,LinkedInの
Instagram Active,アクティブInstagramの
Instagram,インスタグラム
Pinterest Active,Pinterestのアクティブ
Pinterest,Pinterestの
Social Information,社会情報
Products,プロダクト
WYSIWYG Editor,WYSIWYGエディタ
Manage Withdrawals Method,引き出し方法を管理します
Add New Withdrawal,新しい撤退を追加
Save Withdrawal,保存撤退
Edit Withdrawal '%1',編集撤退「％1」
New Withdrawal,新しい撤退
Withdrawal Information,出金情報
Fee,費用
Order Withdrawal,注文撤退
Export,書き出す
Export Settings,エクスポート設定
Entity Type,エンティティタイプ
Export File Format,エクスポートファイルの形式
Fields Enclosure,フィールドエンクロージャ
We can't filter an attribute with no attribute options.,私たちは、無属性オプションの属性をフィルタリングすることはできません。
Exclude,除外する
Attribute Label,属性ラベル
Attribute Code,属性コード
Filter,フィルタ
Unknown attribute filter type,不明な属性フィルタタイプ
Home,家
Go to Home Page,ホームページへ
Create New Product,新製品を作成します。
Create New Attribute,新しい属性を作成します。
Export Product,輸出製品
"Images (.gif, .jpg, .png)",イメージ（.GIF、JPG、PNG）
Import Product,輸入製品
Add Product,製品を追加
label,ラベル
Advanced Report,詳細レポート
Amount Transaction,金額の取引
Invoice,請求書
 [deleted], [削除]
View Invoice,請求書を見ます
Order,注文
View Order,表示の順序
Custom Value,カスタム値
View Shipment,ビュー出荷
Become a Seller,出品者になります
Dashboard,計器盤
Edit Profile,プロファイル編集
Seller Login,出品者ログイン
Error!,エラー！
Info,インフォ
Success,成功
Alert,警報
Order # %1 %2 | %3,注文番号％1％2 | ％3
"This order contains (%1) items and therefore cannot be edited through the admin interface. If you wish to continue editing, the (%2) items will be removed,  the order will be canceled and a new order will be placed.",この順序は（1％）の項目が含まれているため、管理インターフェイスを介して編集することができません。あなたが編集を続けたい場合（％2）の項目が削除されます、注文はキャンセルされ、新しい注文が配置されます。
Are you sure? This order will be canceled and a new one will be created instead.,本気ですか？この注文はキャンセルされ、新しいものが代わりに作成されます。
Payment,支払い
Save,セーブ
Save & Draft,下書きを保存
Save & New,保存して新
Save & Duplicate,保存して重複
Save & Close,保存して閉じます
Url,URL
Preview Image,プレビュー画像
Get Video Information,動画の情報を取得します
Hide from Product Page,製品ページから隠します
Role,役割
YouTube and Vimeo supported.,YouTubeやVimeoのは、サポートされています。
"Vimeo supported.<br />To add YouTube video, please enter YouTube API Key first.",Vimeoのは、サポートされています。<br /> YouTubeの動画を追加するには、まずYouTubeのAPIキーを入力してください。
Weight,重量
Create New Seller Account,新しい出品者アカウントを作成
Review,レビュー
Sell On Marketplace ,マーケットプレースで販売
Vacation Settings,休暇の設定
Pending,保留中
Completed,完成しました
Cancel,キャンセル
Withdrawals,引き出し
Amounts,金額
Manage Seller Amount,売主額を管理します
Manage Amount Transaction,金額の取引を管理します
The seller has been deleted.,売り手は削除されました。
We can't find a seller to delete.,私たちは、売り手が削除する見つけることができません。
Seller,売り手
This seller no longer exits. ,この売り手もはや終了します。
Edit Seller,編集売主
Sellers,売り手
Commissions,委員会
A total of %1 record(s) have been deleted.,％1レコード（複数可）の合計が削除されています。
A total of %1 record(s) have been disabled.,％1つのレコード（複数可）の合計が無効になっています。
A total of %1 record(s) have been enabled.,％1のレコード（複数可）の合計が有効になっています。
You saved this commission.,あなたはこの手数料を救いました。
Something went wrong while saving the commission.,手数料を節約しながら、何かが間違っていました。
Seller Groups,出品者グループ
Groups,グループ
Manage Groups,グループの管理
Please correct the data sent.,送信されたデータを修正してください。
URL key already exists.,URLキーがすでに存在しています。
